protein	locus	connectivity
ENSMUSP00000106746	ENSMUSG00000026490	36
ENSMUSP00000027768	ENSMUSG00000026491	77
ENSMUSP00000027769	ENSMUSG00000026492	15
ENSMUSP00000027771	ENSMUSG00000026494	3
ENSMUSP00000027775	ENSMUSG00000026495	1
ENSMUSP00000027777	ENSMUSG00000026496	117
ENSMUSP00000027778	ENSMUSG00000026497	9
ENSMUSP00000027780	ENSMUSG00000026499	21
ENSMUSP00000027785	ENSMUSG00000026504	57
ENSMUSP00000068895	ENSMUSG00000026509	23
ENSMUSP00000112508	ENSMUSG00000026510	13
ENSMUSP00000027792	ENSMUSG00000026511	87
ENSMUSP00000027795	ENSMUSG00000026514	4
ENSMUSP00000027797	ENSMUSG00000026516	4
ENSMUSP00000027802	ENSMUSG00000026520	8
ENSMUSP00000027809	ENSMUSG00000026525	11
ENSMUSP00000027810	ENSMUSG00000026526	143
ENSMUSP00000083014	ENSMUSG00000026527	32
ENSMUSP00000027817	ENSMUSG00000026532	68
ENSMUSP00000000266	ENSMUSG00000026535	20
ENSMUSP00000027824	ENSMUSG00000026542	33
ENSMUSP00000027826	ENSMUSG00000026544	7
ENSMUSP00000106863	ENSMUSG00000026547	32
ENSMUSP00000027833	ENSMUSG00000026553	44
ENSMUSP00000106895	ENSMUSG00000026556	78
ENSMUSP00000027839	ENSMUSG00000026558	21
ENSMUSP00000027846	ENSMUSG00000026563	8
ENSMUSP00000027850	ENSMUSG00000026565	230
ENSMUSP00000107062	ENSMUSG00000026566	17
ENSMUSP00000027852	ENSMUSG00000026567	82
ENSMUSP00000027853	ENSMUSG00000026568	10
ENSMUSP00000027856	ENSMUSG00000026571	3
ENSMUSP00000027859	ENSMUSG00000026572	23
ENSMUSP00000027860	ENSMUSG00000026573	61
ENSMUSP00000027861	ENSMUSG00000026574	9
ENSMUSP00000027862	ENSMUSG00000026575	88
ENSMUSP00000027863	ENSMUSG00000026576	28
ENSMUSP00000027866	ENSMUSG00000026577	8
ENSMUSP00000083204	ENSMUSG00000026579	58
ENSMUSP00000083208	ENSMUSG00000026580	65
ENSMUSP00000027871	ENSMUSG00000026581	86
ENSMUSP00000027874	ENSMUSG00000026582	58
ENSMUSP00000027877	ENSMUSG00000026585	43
ENSMUSP00000027878	ENSMUSG00000026586	29
ENSMUSP00000039711	ENSMUSG00000026587	6
ENSMUSP00000027881	ENSMUSG00000026589	8
ENSMUSP00000063872	ENSMUSG00000026594	3
ENSMUSP00000027888	ENSMUSG00000026596	43
ENSMUSP00000058344	ENSMUSG00000026600	44
ENSMUSP00000027895	ENSMUSG00000026601	6
ENSMUSP00000027896	ENSMUSG00000026602	42
ENSMUSP00000027897	ENSMUSG00000026603	43
ENSMUSP00000095051	ENSMUSG00000026604	18
ENSMUSP00000027900	ENSMUSG00000026605	70
ENSMUSP00000082821	ENSMUSG00000026608	3
ENSMUSP00000027905	ENSMUSG00000026609	20
ENSMUSP00000027906	ENSMUSG00000026610	71
ENSMUSP00000027908	ENSMUSG00000026611	1
ENSMUSP00000045841	ENSMUSG00000026615	54
ENSMUSP00000080938	ENSMUSG00000026616	83
ENSMUSP00000112179	ENSMUSG00000026617	15
ENSMUSP00000027921	ENSMUSG00000026618	33
ENSMUSP00000027929	ENSMUSG00000026620	15
ENSMUSP00000106620	ENSMUSG00000026621	10
ENSMUSP00000027931	ENSMUSG00000026622	112
ENSMUSP00000027932	ENSMUSG00000026623	2
ENSMUSP00000106510	ENSMUSG00000026626	10
ENSMUSP00000027941	ENSMUSG00000026628	225
ENSMUSP00000027943	ENSMUSG00000026630	17
ENSMUSP00000106518	ENSMUSG00000026632	18
ENSMUSP00000082710	ENSMUSG00000026637	33
ENSMUSP00000075839	ENSMUSG00000026638	27
ENSMUSP00000016315	ENSMUSG00000026639	41
ENSMUSP00000027952	ENSMUSG00000026640	63
ENSMUSP00000001284	ENSMUSG00000026641	181
ENSMUSP00000080600	ENSMUSG00000026643	3
ENSMUSP00000027955	ENSMUSG00000026645	16
ENSMUSP00000027956	ENSMUSG00000026646	8
ENSMUSP00000100053	ENSMUSG00000026648	22
ENSMUSP00000110735	ENSMUSG00000026650	13
ENSMUSP00000027966	ENSMUSG00000026656	65
ENSMUSP00000027970	ENSMUSG00000026659	56
ENSMUSP00000027973	ENSMUSG00000026662	8
ENSMUSP00000027974	ENSMUSG00000026663	58
ENSMUSP00000027975	ENSMUSG00000026664	57
ENSMUSP00000027979	ENSMUSG00000026667	4
ENSMUSP00000110662	ENSMUSG00000026668	4
ENSMUSP00000027980	ENSMUSG00000026669	48
ENSMUSP00000106983	ENSMUSG00000026670	7
ENSMUSP00000027986	ENSMUSG00000026672	41
ENSMUSP00000027984	ENSMUSG00000026673	14
ENSMUSP00000027985	ENSMUSG00000026674	16
ENSMUSP00000106985	ENSMUSG00000026675	31
ENSMUSP00000027997	ENSMUSG00000026678	28
ENSMUSP00000027992	ENSMUSG00000026679	10
ENSMUSP00000028000	ENSMUSG00000026683	108
ENSMUSP00000107008	ENSMUSG00000026686	82
ENSMUSP00000028004	ENSMUSG00000026687	84
ENSMUSP00000028005	ENSMUSG00000026688	91
ENSMUSP00000028010	ENSMUSG00000026691	30
ENSMUSP00000028014	ENSMUSG00000026692	10
ENSMUSP00000107199	ENSMUSG00000026696	18
ENSMUSP00000028020	ENSMUSG00000026697	16
ENSMUSP00000028021	ENSMUSG00000026698	15
ENSMUSP00000028024	ENSMUSG00000026700	53
ENSMUSP00000071636	ENSMUSG00000026701	49
ENSMUSP00000075766	ENSMUSG00000026707	5
ENSMUSP00000107247	ENSMUSG00000026708	77
ENSMUSP00000041851	ENSMUSG00000026709	54
ENSMUSP00000028045	ENSMUSG00000026712	29
ENSMUSP00000068971	ENSMUSG00000026715	99
ENSMUSP00000100025	ENSMUSG00000026718	52
ENSMUSP00000028049	ENSMUSG00000026721	5
ENSMUSP00000114572	ENSMUSG00000026723	30
ENSMUSP00000039452	ENSMUSG00000026725	32
ENSMUSP00000089009	ENSMUSG00000026726	29
ENSMUSP00000028059	ENSMUSG00000026727	6
ENSMUSP00000028062	ENSMUSG00000026728	146
ENSMUSP00000117009	ENSMUSG00000026730	35
ENSMUSP00000028068	ENSMUSG00000026735	175
ENSMUSP00000006912	ENSMUSG00000026737	43
ENSMUSP00000028071	ENSMUSG00000026739	138
ENSMUSP00000028072	ENSMUSG00000026740	1
ENSMUSP00000110328	ENSMUSG00000026743	39
ENSMUSP00000028081	ENSMUSG00000026748	28
ENSMUSP00000049723	ENSMUSG00000026749	4
ENSMUSP00000028083	ENSMUSG00000026750	69
ENSMUSP00000028084	ENSMUSG00000026751	116
ENSMUSP00000028087	ENSMUSG00000026753	2
ENSMUSP00000037735	ENSMUSG00000026754	11
ENSMUSP00000108483	ENSMUSG00000026755	11
ENSMUSP00000028098	ENSMUSG00000026761	46
ENSMUSP00000028102	ENSMUSG00000026764	24
ENSMUSP00000099830	ENSMUSG00000026766	29
ENSMUSP00000028105	ENSMUSG00000026767	2
ENSMUSP00000028106	ENSMUSG00000026768	91
ENSMUSP00000028111	ENSMUSG00000026770	142
ENSMUSP00000114974	ENSMUSG00000026771	1
ENSMUSP00000089043	ENSMUSG00000026773	14
ENSMUSP00000028117	ENSMUSG00000026775	10
ENSMUSP00000028118	ENSMUSG00000026778	79
ENSMUSP00000028119	ENSMUSG00000026779	16
ENSMUSP00000110175	ENSMUSG00000026781	2
ENSMUSP00000084679	ENSMUSG00000026782	27
ENSMUSP00000055689	ENSMUSG00000026784	42
ENSMUSP00000041025	ENSMUSG00000026785	4
ENSMUSP00000014290	ENSMUSG00000026786	22
ENSMUSP00000028123	ENSMUSG00000026787	100
ENSMUSP00000092645	ENSMUSG00000026788	1
ENSMUSP00000109395	ENSMUSG00000026790	76
ENSMUSP00000028129	ENSMUSG00000026791	6
ENSMUSP00000028132	ENSMUSG00000026792	3
ENSMUSP00000089051	ENSMUSG00000026797	34
ENSMUSP00000028137	ENSMUSG00000026798	8
ENSMUSP00000028139	ENSMUSG00000026799	13
ENSMUSP00000097809	ENSMUSG00000026803	58
ENSMUSP00000109478	ENSMUSG00000026805	12
ENSMUSP00000121846	ENSMUSG00000026809	1
ENSMUSP00000028151	ENSMUSG00000026810	29
ENSMUSP00000080555	ENSMUSG00000026811	4
ENSMUSP00000109500	ENSMUSG00000026812	78
ENSMUSP00000009705	ENSMUSG00000026814	74
ENSMUSP00000028156	ENSMUSG00000026815	45
ENSMUSP00000109521	ENSMUSG00000026816	20
ENSMUSP00000068479	ENSMUSG00000026817	121
ENSMUSP00000028161	ENSMUSG00000026818	75
ENSMUSP00000028160	ENSMUSG00000026819	1
ENSMUSP00000028162	ENSMUSG00000026820	33
ENSMUSP00000109527	ENSMUSG00000026821	26
ENSMUSP00000088613	ENSMUSG00000026822	75
ENSMUSP00000063329	ENSMUSG00000026824	4
ENSMUSP00000002626	ENSMUSG00000026825	60
ENSMUSP00000108248	ENSMUSG00000026826	123
ENSMUSP00000108237	ENSMUSG00000026827	66
ENSMUSP00000028171	ENSMUSG00000026828	5
ENSMUSP00000028172	ENSMUSG00000026829	12
ENSMUSP00000088458	ENSMUSG00000026830	6
ENSMUSP00000028175	ENSMUSG00000026832	3
ENSMUSP00000028177	ENSMUSG00000026833	21
ENSMUSP00000028178	ENSMUSG00000026834	23
ENSMUSP00000028179	ENSMUSG00000026835	7
ENSMUSP00000056784	ENSMUSG00000026836	64
ENSMUSP00000028280	ENSMUSG00000026837	69
ENSMUSP00000060437	ENSMUSG00000026839	23
ENSMUSP00000109066	ENSMUSG00000026840	35
ENSMUSP00000075167	ENSMUSG00000026842	147
ENSMUSP00000053474	ENSMUSG00000026843	6
ENSMUSP00000099915	ENSMUSG00000026848	4
ENSMUSP00000028200	ENSMUSG00000026849	14
ENSMUSP00000028205	ENSMUSG00000026851	2
ENSMUSP00000028207	ENSMUSG00000026853	28
ENSMUSP00000099913	ENSMUSG00000026854	1
ENSMUSP00000028209	ENSMUSG00000026856	9
ENSMUSP00000109251	ENSMUSG00000026860	30
ENSMUSP00000028222	ENSMUSG00000026864	95
ENSMUSP00000028223	ENSMUSG00000026866	12
ENSMUSP00000099864	ENSMUSG00000026867	7
ENSMUSP00000028225	ENSMUSG00000026869	48
ENSMUSP00000028229	ENSMUSG00000026872	45
ENSMUSP00000028233	ENSMUSG00000026874	13
ENSMUSP00000108687	ENSMUSG00000026875	77
ENSMUSP00000028238	ENSMUSG00000026878	16
ENSMUSP00000028239	ENSMUSG00000026879	69
ENSMUSP00000028241	ENSMUSG00000026880	35
ENSMUSP00000088532	ENSMUSG00000026883	14
ENSMUSP00000028250	ENSMUSG00000026887	42
ENSMUSP00000028252	ENSMUSG00000026888	20
ENSMUSP00000028251	ENSMUSG00000026889	6
ENSMUSP00000108587	ENSMUSG00000026890	30
ENSMUSP00000028257	ENSMUSG00000026893	11
ENSMUSP00000028256	ENSMUSG00000026894	5
ENSMUSP00000065352	ENSMUSG00000026895	166
ENSMUSP00000028259	ENSMUSG00000026896	81
ENSMUSP00000108099	ENSMUSG00000026904	9
ENSMUSP00000028278	ENSMUSG00000026914	134
ENSMUSP00000028279	ENSMUSG00000026915	12
ENSMUSP00000109586	ENSMUSG00000026917	36
ENSMUSP00000109574	ENSMUSG00000026918	7
ENSMUSP00000099970	ENSMUSG00000026921	10
ENSMUSP00000028286	ENSMUSG00000026922	71
ENSMUSP00000028288	ENSMUSG00000026923	149
ENSMUSP00000109716	ENSMUSG00000026924	7
ENSMUSP00000119485	ENSMUSG00000026925	37
ENSMUSP00000075762	ENSMUSG00000026926	9
ENSMUSP00000109737	ENSMUSG00000026927	54
ENSMUSP00000097876	ENSMUSG00000026928	61
ENSMUSP00000067964	ENSMUSG00000026930	40
ENSMUSP00000028300	ENSMUSG00000026932	1
ENSMUSP00000088812	ENSMUSG00000026933	3
ENSMUSP00000028302	ENSMUSG00000026934	33
ENSMUSP00000097887	ENSMUSG00000026937	13
ENSMUSP00000028307	ENSMUSG00000026938	3
ENSMUSP00000109872	ENSMUSG00000026942	137
ENSMUSP00000028312	ENSMUSG00000026943	4
ENSMUSP00000099983	ENSMUSG00000026944	14
ENSMUSP00000108325	ENSMUSG00000026946	15
ENSMUSP00000047763	ENSMUSG00000026950	68
ENSMUSP00000099989	ENSMUSG00000026956	2
ENSMUSP00000028332	ENSMUSG00000026958	14
ENSMUSP00000109949	ENSMUSG00000026959	108
ENSMUSP00000028337	ENSMUSG00000026961	1
ENSMUSP00000028341	ENSMUSG00000026965	47
ENSMUSP00000028342	ENSMUSG00000026966	84
ENSMUSP00000028348	ENSMUSG00000026971	94
ENSMUSP00000028350	ENSMUSG00000026974	3
ENSMUSP00000028355	ENSMUSG00000026976	202
ENSMUSP00000099808	ENSMUSG00000026977	60
ENSMUSP00000062415	ENSMUSG00000026979	1
ENSMUSP00000028362	ENSMUSG00000026980	30
ENSMUSP00000028358	ENSMUSG00000026981	88
ENSMUSP00000028360	ENSMUSG00000026983	10
ENSMUSP00000028361	ENSMUSG00000026984	8
ENSMUSP00000110141	ENSMUSG00000026986	45
ENSMUSP00000108172	ENSMUSG00000026987	5
ENSMUSP00000099815	ENSMUSG00000026991	9
ENSMUSP00000028378	ENSMUSG00000026994	23
ENSMUSP00000028382	ENSMUSG00000026999	56
ENSMUSP00000028384	ENSMUSG00000027001	21
ENSMUSP00000107390	ENSMUSG00000027002	26
ENSMUSP00000028389	ENSMUSG00000027004	66
ENSMUSP00000028392	ENSMUSG00000027006	13
ENSMUSP00000107415	ENSMUSG00000027007	8
ENSMUSP00000028395	ENSMUSG00000027009	132
ENSMUSP00000122103	ENSMUSG00000027010	10
ENSMUSP00000028398	ENSMUSG00000027011	20
ENSMUSP00000107772	ENSMUSG00000027012	87
ENSMUSP00000028403	ENSMUSG00000027015	23
ENSMUSP00000107750	ENSMUSG00000027018	59
ENSMUSP00000028410	ENSMUSG00000027022	7
ENSMUSP00000099776	ENSMUSG00000027030	17
ENSMUSP00000099770	ENSMUSG00000027048	35
ENSMUSP00000028463	ENSMUSG00000027067	145
ENSMUSP00000069631	ENSMUSG00000027068	39
ENSMUSP00000079752	ENSMUSG00000027070	65
ENSMUSP00000028466	ENSMUSG00000027072	1
ENSMUSP00000028467	ENSMUSG00000027073	9
ENSMUSP00000028469	ENSMUSG00000027075	4
ENSMUSP00000028470	ENSMUSG00000027076	170
ENSMUSP00000028471	ENSMUSG00000027077	3
ENSMUSP00000107264	ENSMUSG00000027078	34
ENSMUSP00000028475	ENSMUSG00000027079	118
ENSMUSP00000099705	ENSMUSG00000027080	26
ENSMUSP00000107347	ENSMUSG00000027082	26
ENSMUSP00000072896	ENSMUSG00000027086	1
ENSMUSP00000028499	ENSMUSG00000027087	96
ENSMUSP00000028494	ENSMUSG00000027088	5
ENSMUSP00000080301	ENSMUSG00000027091	53
ENSMUSP00000107605	ENSMUSG00000027099	41
ENSMUSP00000019749	ENSMUSG00000027102	17
ENSMUSP00000058521	ENSMUSG00000027104	88
ENSMUSP00000028515	ENSMUSG00000027107	18
ENSMUSP00000028517	ENSMUSG00000027108	92
ENSMUSP00000099750	ENSMUSG00000027109	41
ENSMUSP00000040155	ENSMUSG00000027111	118
ENSMUSP00000028527	ENSMUSG00000027115	73
ENSMUSP00000028533	ENSMUSG00000027120	70
ENSMUSP00000028549	ENSMUSG00000027130	4
ENSMUSP00000028551	ENSMUSG00000027131	4
ENSMUSP00000028552	ENSMUSG00000027132	1
ENSMUSP00000028553	ENSMUSG00000027133	96
ENSMUSP00000028554	ENSMUSG00000027134	31
ENSMUSP00000028583	ENSMUSG00000027162	56
ENSMUSP00000028584	ENSMUSG00000027163	6
ENSMUSP00000004949	ENSMUSG00000027164	180
ENSMUSP00000087999	ENSMUSG00000027165	6
ENSMUSP00000028587	ENSMUSG00000027166	1
ENSMUSP00000116575	ENSMUSG00000027167	17
ENSMUSP00000106714	ENSMUSG00000027168	248
ENSMUSP00000028592	ENSMUSG00000027170	38
ENSMUSP00000028595	ENSMUSG00000027173	21
ENSMUSP00000028599	ENSMUSG00000027176	100
ENSMUSP00000106754	ENSMUSG00000027177	17
ENSMUSP00000028603	ENSMUSG00000027180	24
ENSMUSP00000028607	ENSMUSG00000027184	15
ENSMUSP00000028608	ENSMUSG00000027185	128
ENSMUSP00000028609	ENSMUSG00000027186	22
ENSMUSP00000028610	ENSMUSG00000027187	102
ENSMUSP00000028612	ENSMUSG00000027188	3
ENSMUSP00000099633	ENSMUSG00000027189	8
ENSMUSP00000028617	ENSMUSG00000027193	8
ENSMUSP00000028619	ENSMUSG00000027195	16
ENSMUSP00000028623	ENSMUSG00000027198	26
ENSMUSP00000028624	ENSMUSG00000027199	47
ENSMUSP00000099529	ENSMUSG00000027200	21
ENSMUSP00000123088	ENSMUSG00000027201	1
ENSMUSP00000106120	ENSMUSG00000027202	20
ENSMUSP00000080767	ENSMUSG00000027203	154
ENSMUSP00000028633	ENSMUSG00000027204	49
ENSMUSP00000106090	ENSMUSG00000027206	65
ENSMUSP00000092186	ENSMUSG00000027207	11
ENSMUSP00000106072	ENSMUSG00000027208	69
ENSMUSP00000106076	ENSMUSG00000027209	1
ENSMUSP00000028639	ENSMUSG00000027210	57
ENSMUSP00000106888	ENSMUSG00000027215	17
ENSMUSP00000106150	ENSMUSG00000027219	2
ENSMUSP00000028648	ENSMUSG00000027220	1
ENSMUSP00000028649	ENSMUSG00000027221	13
ENSMUSP00000028650	ENSMUSG00000027222	21
ENSMUSP00000050773	ENSMUSG00000027223	51
ENSMUSP00000028657	ENSMUSG00000027227	61
ENSMUSP00000028661	ENSMUSG00000027229	1
ENSMUSP00000028663	ENSMUSG00000027230	12
ENSMUSP00000028668	ENSMUSG00000027236	67
ENSMUSP00000106941	ENSMUSG00000027239	119
ENSMUSP00000088098	ENSMUSG00000027243	2
ENSMUSP00000028678	ENSMUSG00000027244	8
ENSMUSP00000106963	ENSMUSG00000027247	39
ENSMUSP00000028683	ENSMUSG00000027248	43
ENSMUSP00000028681	ENSMUSG00000027249	102
ENSMUSP00000028689	ENSMUSG00000027253	4
ENSMUSP00000092223	ENSMUSG00000027254	17
ENSMUSP00000054391	ENSMUSG00000027257	22
ENSMUSP00000067133	ENSMUSG00000027259	1
ENSMUSP00000028704	ENSMUSG00000027261	18
ENSMUSP00000044049	ENSMUSG00000027263	59
ENSMUSP00000028728	ENSMUSG00000027272	17
ENSMUSP00000028727	ENSMUSG00000027273	70
ENSMUSP00000112106	ENSMUSG00000027274	41
ENSMUSP00000028735	ENSMUSG00000027276	63
ENSMUSP00000065166	ENSMUSG00000027281	6
ENSMUSP00000107095	ENSMUSG00000027282	29
ENSMUSP00000117299	ENSMUSG00000027285	63
ENSMUSP00000055602	ENSMUSG00000027288	38
ENSMUSP00000099559	ENSMUSG00000027291	9
ENSMUSP00000028755	ENSMUSG00000027293	4
ENSMUSP00000028758	ENSMUSG00000027296	32
ENSMUSP00000028759	ENSMUSG00000027297	14
ENSMUSP00000106408	ENSMUSG00000027298	17
ENSMUSP00000105894	ENSMUSG00000027301	22
ENSMUSP00000076533	ENSMUSG00000027303	32
ENSMUSP00000028767	ENSMUSG00000027304	13
ENSMUSP00000028768	ENSMUSG00000027305	9
ENSMUSP00000068713	ENSMUSG00000027306	88
ENSMUSP00000028781	ENSMUSG00000027312	10
ENSMUSP00000099575	ENSMUSG00000027314	63
ENSMUSP00000028783	ENSMUSG00000027315	11
ENSMUSP00000028787	ENSMUSG00000027316	7
ENSMUSP00000106444	ENSMUSG00000027317	6
ENSMUSP00000105861	ENSMUSG00000027318	36
ENSMUSP00000028794	ENSMUSG00000027322	20
ENSMUSP00000028795	ENSMUSG00000027323	74
ENSMUSP00000028796	ENSMUSG00000027324	4
ENSMUSP00000097140	ENSMUSG00000027326	80
ENSMUSP00000028801	ENSMUSG00000027329	6
ENSMUSP00000028804	ENSMUSG00000027330	48
ENSMUSP00000115860	ENSMUSG00000027331	14
ENSMUSP00000028807	ENSMUSG00000027332	27
ENSMUSP00000105815	ENSMUSG00000027333	10
ENSMUSP00000099473	ENSMUSG00000027335	19
ENSMUSP00000058836	ENSMUSG00000027338	7
ENSMUSP00000028814	ENSMUSG00000027339	16
ENSMUSP00000028815	ENSMUSG00000027340	5
ENSMUSP00000105793	ENSMUSG00000027341	6
ENSMUSP00000028817	ENSMUSG00000027342	347
ENSMUSP00000028821	ENSMUSG00000027344	3
ENSMUSP00000028823	ENSMUSG00000027347	59
ENSMUSP00000028826	ENSMUSG00000027350	34
ENSMUSP00000028829	ENSMUSG00000027351	22
ENSMUSP00000028831	ENSMUSG00000027353	39
ENSMUSP00000047616	ENSMUSG00000027356	21
ENSMUSP00000028835	ENSMUSG00000027357	32
ENSMUSP00000028836	ENSMUSG00000027358	135
ENSMUSP00000057595	ENSMUSG00000027359	26
ENSMUSP00000028838	ENSMUSG00000027360	27
ENSMUSP00000106055	ENSMUSG00000027361	7
ENSMUSP00000106046	ENSMUSG00000027363	34
ENSMUSP00000099513	ENSMUSG00000027365	23
ENSMUSP00000028846	ENSMUSG00000027368	25
ENSMUSP00000028848	ENSMUSG00000027371	6
ENSMUSP00000028854	ENSMUSG00000027375	9
ENSMUSP00000028855	ENSMUSG00000027376	6
ENSMUSP00000028856	ENSMUSG00000027377	17
ENSMUSP00000028857	ENSMUSG00000027378	16
ENSMUSP00000028858	ENSMUSG00000027379	199
ENSMUSP00000105970	ENSMUSG00000027381	117
ENSMUSP00000035325	ENSMUSG00000027384	20
ENSMUSP00000028864	ENSMUSG00000027386	4
ENSMUSP00000046883	ENSMUSG00000027394	35
ENSMUSP00000099494	ENSMUSG00000027395	130
ENSMUSP00000105944	ENSMUSG00000027397	17
ENSMUSP00000028881	ENSMUSG00000027398	225
ENSMUSP00000028882	ENSMUSG00000027399	66
ENSMUSP00000028883	ENSMUSG00000027400	59
ENSMUSP00000105928	ENSMUSG00000027401	14
ENSMUSP00000028888	ENSMUSG00000027403	9
ENSMUSP00000055941	ENSMUSG00000027404	61
ENSMUSP00000099487	ENSMUSG00000027405	188
ENSMUSP00000028892	ENSMUSG00000027406	75
ENSMUSP00000028897	ENSMUSG00000027408	3
ENSMUSP00000028900	ENSMUSG00000027411	29
ENSMUSP00000105083	ENSMUSG00000027412	1
ENSMUSP00000028902	ENSMUSG00000027416	1
ENSMUSP00000028905	ENSMUSG00000027419	37
ENSMUSP00000096899	ENSMUSG00000027420	20
ENSMUSP00000016072	ENSMUSG00000027422	9
ENSMUSP00000028909	ENSMUSG00000027423	21
ENSMUSP00000028911	ENSMUSG00000027425	4
ENSMUSP00000028914	ENSMUSG00000027427	85
ENSMUSP00000028915	ENSMUSG00000027428	11
ENSMUSP00000028916	ENSMUSG00000027429	14
ENSMUSP00000028917	ENSMUSG00000027430	27
ENSMUSP00000028921	ENSMUSG00000027433	15
ENSMUSP00000105595	ENSMUSG00000027434	54
ENSMUSP00000096876	ENSMUSG00000027435	36
ENSMUSP00000028926	ENSMUSG00000027438	3
ENSMUSP00000028928	ENSMUSG00000027439	3
ENSMUSP00000105573	ENSMUSG00000027442	41
ENSMUSP00000028932	ENSMUSG00000027443	7
ENSMUSP00000028933	ENSMUSG00000027444	4
ENSMUSP00000028935	ENSMUSG00000027445	3
ENSMUSP00000028937	ENSMUSG00000027446	1
ENSMUSP00000028938	ENSMUSG00000027447	38
ENSMUSP00000028944	ENSMUSG00000027452	37
ENSMUSP00000028948	ENSMUSG00000027454	62
ENSMUSP00000086542	ENSMUSG00000027455	8
ENSMUSP00000028950	ENSMUSG00000027456	1
ENSMUSP00000105501	ENSMUSG00000027457	2
ENSMUSP00000105490	ENSMUSG00000027459	1
ENSMUSP00000028955	ENSMUSG00000027460	21
ENSMUSP00000028963	ENSMUSG00000027465	1
ENSMUSP00000028964	ENSMUSG00000027466	14
ENSMUSP00000028969	ENSMUSG00000027469	104
ENSMUSP00000105439	ENSMUSG00000027470	36
ENSMUSP00000028972	ENSMUSG00000027472	2
ENSMUSP00000028977	ENSMUSG00000027475	28
ENSMUSP00000051830	ENSMUSG00000027478	82
ENSMUSP00000028981	ENSMUSG00000027479	164
ENSMUSP00000028982	ENSMUSG00000027480	1
ENSMUSP00000028985	ENSMUSG00000027483	25
ENSMUSP00000028986	ENSMUSG00000027484	4
ENSMUSP00000080501	ENSMUSG00000027485	4
ENSMUSP00000028990	ENSMUSG00000027487	34
ENSMUSP00000028991	ENSMUSG00000027488	20
ENSMUSP00000000895	ENSMUSG00000027489	2
ENSMUSP00000099434	ENSMUSG00000027490	265
ENSMUSP00000028997	ENSMUSG00000027496	101
ENSMUSP00000029000	ENSMUSG00000027498	103
ENSMUSP00000028999	ENSMUSG00000027499	4
ENSMUSP00000029002	ENSMUSG00000027500	48
ENSMUSP00000029005	ENSMUSG00000027502	1
ENSMUSP00000091943	ENSMUSG00000027506	7
ENSMUSP00000104021	ENSMUSG00000027508	29
ENSMUSP00000029013	ENSMUSG00000027509	104
ENSMUSP00000029014	ENSMUSG00000027510	4
ENSMUSP00000029017	ENSMUSG00000027513	80
ENSMUSP00000029018	ENSMUSG00000027514	56
ENSMUSP00000113291	ENSMUSG00000027517	13
ENSMUSP00000029024	ENSMUSG00000027519	8
ENSMUSP00000109767	ENSMUSG00000027520	4
ENSMUSP00000091836	ENSMUSG00000027522	35
ENSMUSP00000079341	ENSMUSG00000027523	110
ENSMUSP00000029030	ENSMUSG00000027524	41
ENSMUSP00000104543	ENSMUSG00000027525	1
ENSMUSP00000029038	ENSMUSG00000027528	5
ENSMUSP00000068174	ENSMUSG00000027531	34
ENSMUSP00000029046	ENSMUSG00000027533	36
ENSMUSP00000029047	ENSMUSG00000027534	9
ENSMUSP00000029049	ENSMUSG00000027536	14
ENSMUSP00000029053	ENSMUSG00000027540	71
ENSMUSP00000104813	ENSMUSG00000027544	84
ENSMUSP00000104805	ENSMUSG00000027546	27
ENSMUSP00000029061	ENSMUSG00000027547	184
ENSMUSP00000088875	ENSMUSG00000027550	1
ENSMUSP00000085285	ENSMUSG00000027551	18
ENSMUSP00000029069	ENSMUSG00000027552	46
ENSMUSP00000029071	ENSMUSG00000027555	2
ENSMUSP00000091925	ENSMUSG00000027556	25
ENSMUSP00000029076	ENSMUSG00000027559	50
ENSMUSP00000029075	ENSMUSG00000027560	4
ENSMUSP00000029078	ENSMUSG00000027562	39
ENSMUSP00000029080	ENSMUSG00000027564	3
ENSMUSP00000029082	ENSMUSG00000027566	112
ENSMUSP00000029084	ENSMUSG00000027568	18
ENSMUSP00000029085	ENSMUSG00000027569	14
ENSMUSP00000099348	ENSMUSG00000027570	13
ENSMUSP00000077753	ENSMUSG00000027573	2
ENSMUSP00000099342	ENSMUSG00000027574	1
ENSMUSP00000029092	ENSMUSG00000027575	58
ENSMUSP00000104479	ENSMUSG00000027577	29
ENSMUSP00000091756	ENSMUSG00000027580	26
ENSMUSP00000099334	ENSMUSG00000027581	3
ENSMUSP00000071513	ENSMUSG00000027584	13
ENSMUSP00000029116	ENSMUSG00000027589	7
ENSMUSP00000112090	ENSMUSG00000027593	10
ENSMUSP00000105319	ENSMUSG00000027596	72
ENSMUSP00000061851	ENSMUSG00000027597	43
ENSMUSP00000105307	ENSMUSG00000027598	43
ENSMUSP00000119724	ENSMUSG00000027601	2
ENSMUSP00000029128	ENSMUSG00000027602	15
ENSMUSP00000029131	ENSMUSG00000027603	49
ENSMUSP00000099431	ENSMUSG00000027605	43
ENSMUSP00000078630	ENSMUSG00000027610	62
ENSMUSP00000029140	ENSMUSG00000027611	19
ENSMUSP00000029141	ENSMUSG00000027612	4
ENSMUSP00000029142	ENSMUSG00000027613	111
ENSMUSP00000012580	ENSMUSG00000027615	13
ENSMUSP00000029147	ENSMUSG00000027618	39
ENSMUSP00000105216	ENSMUSG00000027620	51
